name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,ghc,5,12,611,0.075,0,0,50% 50% 100% 67%,0.026
binarytrees,ghc,5,16,611,1.710,15640,0,78% 70% 88% 66%,0.580
binarytrees,ghc,5,20,611,36.965,182616,0,57% 57% 100% 57%,13.762
binarytrees,php,3,12,483,1.092,11984,0,0% 0% 100% 1%,1.097
binarytrees,php,3,16,483,39.480,151520,0,0% 0% 100% 0%,39.527
binarytrees,php,3,20,483,1147.184,2380408,0,97% 0% 0% 3%,1149.088
binarytrees,hack,2,12,468,0.290,548,0,84% 3% 11% 0%,0.292
binarytrees,hack,2,16,468,3.248,76164,0,0% 1% 100% 1%,3.254
binarytrees,hack,2,20,468,66.442,385236,0,100% 1% 1% 0%,66.527
binarytrees,scala,4,12,494,0.303,432,0,13% 13% 92% 14%,0.240
binarytrees,scala,4,16,494,0.984,68140,0,14% 11% 12% 94%,0.806
binarytrees,scala,4,20,494,24.443,397928,0,52% 24% 24% 68%,14.775
binarytrees,yarv,4,12,402,0.394,7680,0,1% 29% 72% 3%,0.663
binarytrees,yarv,4,16,402,7.468,37512,0,81% 1% 20% 2%,7.478
binarytrees,yarv,4,20,402,155.300,652416,0,1% 0% 100% 1%,155.466
binarytrees,scala,2,12,641,0.000,688,-2,46% 8% 19% 42%,0.261
binarytrees,scala,2,16,641,0.000,688,-2,46% 8% 19% 42%,0.261
binarytrees,scala,2,20,641,0.000,688,-2,46% 8% 19% 42%,0.261
binarytrees,yarv,2,12,413,0.474,8372,0,69% 28% 0% 1%,0.971
binarytrees,yarv,2,16,413,9.733,64144,0,1% 1% 1% 100%,9.744
binarytrees,yarv,2,20,413,190.592,825016,0,1% 100% 1% 0%,190.731
binarytrees,perl,3,12,706,1.720,9920,0,58% 55% 63% 69%,0.802
binarytrees,perl,3,16,706,34.452,110940,0,85% 93% 94% 93%,9.479
binarytrees,perl,3,20,706,755.684,1593648,0,78% 95% 96% 89%,211.702
binarytrees,hipe,2,12,499,0.272,616,0,38% 26% 17% 40%,0.309
binarytrees,hipe,2,16,499,2.036,65616,0,72% 72% 62% 72%,0.748
binarytrees,hipe,2,20,499,69.720,1028396,0,52% 57% 47% 95%,28.007
binarytrees,go,6,12,937,0.125,0,0,57% 67% 0% 71%,0.064
binarytrees,go,6,16,937,2.787,33752,0,59% 57% 51% 56%,1.272
binarytrees,go,6,20,937,64.268,424620,0,58% 56% 52% 60%,28.750
binarytrees,go,3,12,836,0.136,0,0,80% 80% 60% 67%,0.051
binarytrees,go,3,16,836,2.203,105492,0,76% 85% 83% 76%,0.709
binarytrees,go,3,20,836,41.176,629388,0,93% 96% 91% 95%,11.064
binarytrees,sbcl,1,12,612,0.063,0,0,0% 0% 100% 0%,0.065
binarytrees,sbcl,1,16,612,1.306,66244,0,3% 0% 100% 2%,1.310
