name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,fsharp,3,20,565,37.188,173136,0,0% 1% 1% 100%,37.225
binarytrees,ifc,1,20,826,173.183,153800,0,0% 0% 0% 100%,173.347
binarytrees,gcc,3,20,906,9.392,99424,0,0% 72% 34% 100%,9.401
binarytrees,python3,6,20,626,506.904,688448,0,1% 1% 1% 100%,507.348
binarytrees,yarv,5,20,1123,218.768,130996,0,1% 1% 1% 100%,218.869
binarytrees,gcc,5,20,963,76.164,109632,0,1% 1% 0% 100%,76.199
binarytrees,jruby,1,20,412,253.428,895044,0,0% 1% 1% 100%,253.677
binarytrees,clojure,6,20,705,30.852,529700,0,1% 1% 1% 100%,30.895
binarytrees,java,2,20,603,16.556,510068,0,1% 1% 1% 100%,16.585
binarytrees,yarv,3,20,439,226.444,409360,0,0% 1% 1% 100%,226.550
binarytrees,lua,3,20,477,477.098,2963916,0,0% 0% 0% 100%,477.685
binarytrees,fsharp,2,20,515,62.660,261920,0,0% 1% 0% 100%,62.730
binarytrees,gpp,6,20,892,10.924,148508,0,1% 1% 0% 100%,10.935
binarytrees,clojure,2,20,750,22.580,511792,0,1% 1% 0% 100%,22.615
binarytrees,go,5,20,1000,91.128,196040,0,1% 1% 0% 100%,91.232
binarytrees,go,6,20,937,33.444,273412,0,0% 1% 1% 100%,33.477
binarytrees,gnat,4,20,2167,11.148,105676,0,0% 1% 1% 100%,11.169
binarytrees,fsharp,1,20,537,24.304,163448,0,0% 1% 1% 100%,24.333
binarytrees,clojure,1,20,657,21.728,512756,0,0% 1% 1% 100%,21.759
binarytrees,php,2,20,472,543.900,546272,0,0% 0% 0% 100%,544.486
binarytrees,ghc,1,20,521,18.912,166212,0,0% 0% 0% 100%,18.936
binarytrees,csharp,2,20,650,44.160,293780,0,0% 1% 0% 100%,44.203
binarytrees,gcc,1,20,706,34.156,66096,0,0% 0% 1% 100%,34.175
binarytrees,scala,2,20,641,0.000,248,-2,0% 0% 4% 100%,0.273
binarytrees,v8,1,20,467,33.360,448540,0,1% 1% 1% 100%,33.405
binarytrees,oz,1,20,479,1011.772,1555540,0,0% 0% 0% 100%,1012.176
binarytrees,dart,1,20,503,22.964,181836,0,0% 1% 1% 100%,22.987
binarytrees,go,4,20,688,90.480,199244,0,1% 0% 0% 100%,90.573
binarytrees,perl,3,20,706,0.000,0,-2,50% 0% 0% 50%,0.023
binarytrees,java,1,20,1007,21.264,532304,0,1% 0% 1% 100%,21.292
binarytrees,vw,1,20,722,65.600,316312,0,0% 0% 0% 100%,65.665
binarytrees,rust,1,20,788,14.484,130452,0,1% 1% 1% 100%,14.500
binarytrees,yarv,4,20,402,215.176,300436,0,1% 1% 0% 100%,215.261
binarytrees,hipe,1,20,441,50.491,443172,0,0% 0% 0% 100%,50.552
binarytrees,fpascal,1,20,769,33.260,65836,0,0% 1% 0% 100%,33.282
binarytrees,ats,1,20,926,17.977,132104,0,0% 1% 0% 100%,17.987
binarytrees,gnat,1,20,955,40.648,99416,0,1% 0% 0% 100%,40.683
binarytrees,go,1,20,516,89.820,170752,0,1% 1% 0% 100%,89.912
binarytrees,go,8,20,814,54.000,134696,0,0% 1% 0% 100%,54.048
binarytrees,go,2,20,694,90.572,199132,0,1% 1% 1% 100%,90.651
binarytrees,lua,2,20,446,449.988,1033624,0,0% 14% 4% 100%,450.483
binarytrees,perl,1,20,448,602.632,289324,0,0% 0% 0% 100%,603.135
binarytrees,gpp,2,20,553,38.852,99080,0,0% 0% 1% 100%,38.874
binarytrees,yarv,1,20,412,227.060,400436,0,0% 0% 1% 100%,227.164
binarytrees,ghc,4,20,612,18.228,173344,0,0% 1% 1% 100%,18.252
binarytrees,racket,2,20,640,27.144,218080,0,1% 1% 1% 100%,27.180
binarytrees,gcc,7,20,850,9.452,99448,0,0% 1% 1% 100%,9.462
binarytrees,hipe,2,20,499,47.567,338644,0,0% 0% 0% 100%,47.626
binarytrees,yarv,2,20,413,222.744,557644,0,0% 1% 1% 100%,222.854
binarytrees,sbcl,2,20,649,18.704,193676,0,1% 0% 0% 100%,18.732
binarytrees,ocaml,2,20,784,35.000,101028,0,0% 0% 0% 100%,35.074
binarytrees,gnat,5,20,2167,11.172,105684,0,0% 1% 1% 100%,11.196
binarytrees,gpp,7,20,919,10.420,66996,0,0% 1% 1% 100%,10.430
binarytrees,go,7,20,567,88.636,170400,0,1% 1% 0% 100%,88.711
binarytrees,scala,1,20,549,16.136,379632,0,0% 1% 0% 100%,16.157
binarytrees,php,3,20,483,941.804,1260280,0,1% 1% 4% 100%,943.010
binarytrees,go,3,20,836,0.000,1863324,-2,1% 1% 1% 100%,25.146
binarytrees,php,1,20,504,620.812,546248,0,0% 0% 0% 100%,621.420
binarytrees,ats,3,20,2143,17.733,197256,0,0% 0% 0% 100%,17.746
binarytrees,ghc,5,20,611,20.192,88332,0,1% 1% 0% 100%,20.207
binarytrees,sbcl,1,20,612,27.240,193672,0,1% 0% 0% 100%,27.271
binarytrees,ocaml,1,20,563,12.744,235724,0,1% 0% 0% 100%,12.765
binarytrees,gcc,9,20,1103,6.216,114336,0,1% 1% 0% 100%,6.225
binarytrees,csharp,1,20,654,20.832,134028,0,0% 1% 2% 100%,20.858
binarytrees,java,3,20,584,16.276,511448,0,1% 1% 0% 100%,16.301
binarytrees,ocaml,5,20,496,35.888,115712,0,0% 0% 0% 100%,35.929
binarytrees,jruby,4,20,402,155.940,897132,0,1% 1% 1% 100%,156.101
binarytrees,ifc,2,20,1199,23.773,99616,0,0% 0% 0% 100%,23.786
binarytrees,jruby,3,20,439,168.684,899264,0,1% 1% 1% 100%,168.872
binarytrees,scala,4,20,494,17.464,506212,0,1% 1% 0% 100%,17.488
binarytrees,racket,1,20,495,37.380,281180,0,0% 1% 1% 100%,37.428
binarytrees,gcc,2,20,594,2.952,25064,0,0% 2% 1% 100%,2.958
binarytrees,jruby,5,20,1123,846.140,852436,0,1% 1% 0% 100%,846.729
binarytrees,php,4,20,945,541.620,957228,0,0% 0% 1% 100%,542.154
binarytrees,gnat,3,20,1342,114.604,329060,0,0% 1% 1% 100%,114.656
binarytrees,racket,3,20,877,0.000,22608,-10,0% 2% 7% 98%,0.457
binarytreesredux,java,2,20,607,247.488,134348,0,1% 1% 0% 100%,247.659
binarytreesredux,clojure,6,20,709,103.096,223528,0,1% 1% 1% 100%,103.191
binarytreesredux,ghc,1,20,521,25.624,75132,0,0% 1% 0% 100%,25.658
binarytreesredux,jruby,1,20,412,250.464,879960,0,1% 1% 1% 100%,250.710
binarytreesredux,scala,4,20,498,252.952,136000,0,1% 0% 0% 100%,253.114
binarytreesredux,clojure,1,20,661,51.388,224780,0,1% 0% 1% 100%,51.442
binarytreesredux,sbcl,2,20,649,20.716,181248,0,1% 0% 1% 100%,20.747
