name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,fsharp,3,12,565,0.832,20828,0,0% 4% 2% 100%,0.838
binarytrees,fsharp,3,16,565,2.032,44280,0,0% 1% 0% 100%,2.037
binarytrees,fsharp,3,20,565,37.188,173136,0,0% 1% 1% 100%,37.225
binarytrees,ifc,1,12,826,0.228,280,0,17% 0% 4% 100%,0.233
binarytrees,ifc,1,16,826,7.536,10448,0,1% 4% 1% 100%,7.547
binarytrees,ifc,1,20,826,173.183,153800,0,0% 0% 0% 100%,173.347
binarytrees,gcc,3,12,906,0.020,0,0,100% 0% 0% 100%,0.024
binarytrees,gcc,3,16,906,0.460,2844,0,100% 0% 2% 100%,0.465
binarytrees,gcc,3,20,906,9.392,99424,0,0% 72% 34% 100%,9.401
binarytrees,python3,6,12,626,0.980,8076,0,1% 4% 1% 99%,1.679
binarytrees,python3,6,16,626,22.652,68880,0,1% 0% 0% 100%,22.762
binarytrees,python3,6,20,626,506.904,688448,0,1% 1% 1% 100%,507.348
binarytrees,yarv,5,12,1123,0.544,22856,0,5% 0% 0% 100%,0.557
binarytrees,yarv,5,16,1123,11.060,54672,0,0% 1% 1% 100%,11.078
binarytrees,yarv,5,20,1123,218.768,130996,0,1% 1% 1% 100%,218.869
binarytrees,gcc,5,12,963,0.156,0,0,0% 6% 0% 100%,0.158
binarytrees,gcc,5,16,963,3.440,6640,0,1% 1% 0% 100%,3.446
binarytrees,gcc,5,20,963,76.164,109632,0,1% 1% 0% 100%,76.199
binarytrees,jruby,1,12,412,5.752,142688,0,1% 1% 1% 100%,5.770
binarytrees,jruby,1,16,412,10.836,609224,0,1% 1% 1% 100%,10.861
binarytrees,jruby,1,20,412,253.428,895044,0,0% 1% 1% 100%,253.677
binarytrees,clojure,6,12,705,2.408,56308,0,0% 0% 1% 100%,2.413
binarytrees,clojure,6,16,705,4.012,318792,0,0% 1% 2% 100%,4.020
binarytrees,clojure,6,20,705,30.852,529700,0,1% 1% 1% 100%,30.895
binarytrees,java,2,12,603,0.196,0,0,5% 10% 5% 100%,0.202
binarytrees,java,2,16,603,1.040,153892,0,3% 2% 3% 100%,1.044
binarytrees,java,2,20,603,16.556,510068,0,1% 1% 1% 100%,16.585
binarytrees,yarv,3,12,439,0.536,5736,0,0% 0% 4% 98%,0.547
binarytrees,yarv,3,16,439,11.108,34092,0,0% 1% 1% 100%,11.117
binarytrees,yarv,3,20,439,226.444,409360,0,0% 1% 1% 100%,226.550
binarytrees,lua,3,12,477,0.800,10588,0,2% 0% 1% 98%,0.871
binarytrees,lua,3,16,477,20.333,217564,0,0% 0% 0% 100%,20.357
binarytrees,lua,3,20,477,477.098,2963916,0,0% 0% 0% 100%,477.685
binarytrees,fsharp,2,12,515,1.300,24848,0,0% 0% 1% 100%,1.307
binarytrees,fsharp,2,16,515,3.048,52484,0,0% 2% 1% 100%,3.052
binarytrees,fsharp,2,20,515,62.660,261920,0,0% 1% 0% 100%,62.730
binarytrees,gpp,6,12,892,0.024,0,0,0% 0% 0% 100%,0.029
binarytrees,gpp,6,16,892,0.508,4192,0,2% 2% 2% 98%,0.513
binarytrees,gpp,6,20,892,10.924,148508,0,1% 1% 0% 100%,10.935
binarytrees,clojure,2,12,750,2.320,56356,0,2% 0% 2% 100%,2.382
binarytrees,clojure,2,16,750,3.344,186580,0,3% 0% 0% 100%,3.352
binarytrees,clojure,2,20,750,22.580,511792,0,1% 1% 0% 100%,22.615
binarytrees,go,5,12,1000,0.168,0,0,0% 0% 0% 100%,0.171
binarytrees,go,5,16,1000,4.252,12756,0,1% 1% 0% 100%,4.258
binarytrees,go,5,20,1000,91.128,196040,0,1% 1% 0% 100%,91.232
binarytrees,go,6,12,937,0.064,0,0,13% 0% 0% 100%,0.067
binarytrees,go,6,16,937,1.820,18520,0,1% 1% 0% 100%,1.824
binarytrees,go,6,20,937,33.444,273412,0,0% 1% 1% 100%,33.477
binarytrees,gnat,4,12,2167,0.028,0,0,0% 0% 0% 67%,0.042
binarytrees,gnat,4,16,2167,0.548,8960,0,2% 5% 4% 98%,0.563
binarytrees,gnat,4,20,2167,11.148,105676,0,0% 1% 1% 100%,11.169
binarytrees,fsharp,1,12,537,0.736,19800,0,4% 0% 0% 100%,0.739
binarytrees,fsharp,1,16,537,1.340,26148,0,1% 4% 1% 100%,1.347
binarytrees,fsharp,1,20,537,24.304,163448,0,0% 1% 1% 100%,24.333
binarytrees,clojure,1,12,657,2.468,59776,0,1% 1% 0% 100%,2.484
binarytrees,clojure,1,16,657,3.568,186660,0,1% 1% 1% 100%,3.576
binarytrees,clojure,1,20,657,21.728,512756,0,0% 1% 1% 100%,21.759
binarytrees,php,2,12,472,0.864,4532,0,0% 2% 0% 100%,0.885
binarytrees,php,2,16,472,23.556,37188,0,0% 0% 0% 100%,23.577
binarytrees,php,2,20,472,543.900,546272,0,0% 0% 0% 100%,544.486
binarytrees,ghc,1,12,521,0.032,0,0,0% 0% 0% 100%,0.036
binarytrees,ghc,1,16,521,1.008,9128,0,0% 0% 4% 100%,1.011
binarytrees,ghc,1,20,521,18.912,166212,0,0% 0% 0% 100%,18.936
binarytrees,csharp,2,12,650,0.712,20032,0,0% 1% 0% 100%,0.716
binarytrees,csharp,2,16,650,2.152,40192,0,0% 1% 0% 100%,2.158
binarytrees,csharp,2,20,650,44.160,293780,0,0% 1% 0% 100%,44.203
binarytrees,gcc,1,12,706,0.068,0,0,0% 0% 11% 100%,0.072
binarytrees,gcc,1,16,706,1.560,4580,0,0% 1% 2% 100%,1.564
binarytrees,gcc,1,20,706,34.156,66096,0,0% 0% 1% 100%,34.175
binarytrees,scala,2,12,641,0.000,248,-2,0% 0% 4% 100%,0.273
binarytrees,scala,2,16,641,0.000,248,-2,0% 0% 4% 100%,0.273
binarytrees,scala,2,20,641,0.000,248,-2,0% 0% 4% 100%,0.273
binarytrees,v8,1,12,467,0.060,0,0,11% 0% 0% 100%,0.074
